"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor"
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"44.2";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"51.6";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"67.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"55.1";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"48.9";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"50.4";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"52.5";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"49.2";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"48.8";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"44.9";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"51.3";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"67.2";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"54.4";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2022";"49.2";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"51.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"53.4";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"50";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"48.7";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"47";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"52.8";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"73.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"55.7";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2021";"49.7";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"52.7";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"54.3";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"52.2";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"49.6";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"48.7";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"54.7";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"73.1";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"55.4";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2020";"49.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"51.6";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"53";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"51.3";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"48.5";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"47";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"53.5";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"71.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"56.9";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2019";"49.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"50";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"51.3";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"50";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"46.2";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"46.6";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"53.3";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"72.5";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"55.4";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2018";"47";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"49.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"51";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"49.6";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"42.9";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"45.8";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"53.9";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"71.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"53.9";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2017";"45.4";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"46.7";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"48.4";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"47.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"40.4";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"43.6";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"51.4";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"69.2";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"52";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2016";"43.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"64.2";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"74.8";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"60";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"57.8";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"56.6";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"65.6";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"85";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"69.9";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2024";"62.1";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"65.4";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"76";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"60.6";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"60.5";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"57.1";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"66.8";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"87.4";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"71.2";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2023";"63.3";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"55.2";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"63.2";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"52.1";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"48.7";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"49.2";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"56.3";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"73.7";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"59.6";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2022";"53.9";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"53.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"60.2";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"50.3";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"45.9";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"48.8";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"54.9";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"76.5";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"57.9";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2021";"51.7";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"57";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"65";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"53.8";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"48.5";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"52.7";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"59.2";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"79.1";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"59.9";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2020";"53.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"55.8";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"62.7";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"53.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"46.6";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"50.9";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"57.9";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"77.4";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"61.6";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2019";"53.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"54.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"60.4";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"52.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"44.6";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"50.4";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"57.6";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"78.5";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"60";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2018";"50.9";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"55.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"64.9";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"52.2";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"43.3";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"51.5";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"60.5";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"80.4";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"60.6";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2017";"51";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"53.6";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"61";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"52.2";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"41";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"50.2";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"59.1";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"79.5";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"59.7";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2016";"50";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"55.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"57.8";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"53.8";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"46.9";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"49.6";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
